dep;nomdep;codecommune;nomcommune;GEO_latitude;GEO_longitude;DBL_geo_point_2d;DBL_coderegion;DBL_nomregion;DBL_bug
53;MAYENNE;53028;BELGEARD;48.25175981670218;-0.5601354759706011;48.25175981670218, -0.5601354759706011;52;PAYS DE LA LOIRE;0
02;AISNE;02572;ORAINVILLE;49.37596798283289;4.015658564963461;49.37596798283289, 4.015658564963461;22;PICARDIE;0
06;ALPES-MARITIMES;06067;GORBIO;43.78602819630325;7.446038249952569;43.78602819630325, 7.446038249952569;93;"""PROVENCE-ALPES-COTE D'AZUR""";0
21;"""COTE-D'OR""";21638;TIL-CHATEL;47.51913607149325;5.17912297276398;47.51913607149325, 5.17912297276398;26;BOURGOGNE;0
37;INDRE-ET-LOIRE;37144;MARCAY;47.08299957025402;0.209654496805859;47.08299957025402, 0.20965449680585901;24;CENTRE;0
09;ARIEGE;09140;IGNAUX;42.74274365363212;1.8460681709694071;42.74274365363212, 1.8460681709694071;73;MIDI-PYRENEES;0
31;HAUTE-GARONNE;31415;PEYROUZET;43.207904425244685;0.8321519629891071;43.207904425244685, 0.8321519629891071;73;MIDI-PYRENEES;0
58;NIEVRE;58163;MENOU;47.36843908372626;3.283326944533593;47.36843908372626, 3.283326944533593;26;BOURGOGNE;0
29;FINISTERE;29015;BOURG-BLANC;48.49562244643208;-4.49991805355505;48.49562244643208, -4.49991805355505;53;BRETAGNE;0
59;NORD;59259;GHISSIGNIES;50.22775898531835;3.616339629694043;50.22775898531835, 3.616339629694043;31;NORD-PAS-DE-CALAIS;0
76;SEINE-MARITIME;76649;SAINT-SAIRE;49.68167114569175;1.480969717741421;49.681671145691745, 1.480969717741421;23;HAUTE-NORMANDIE;0
60;OISE;60416;MONTGERAIN;49.53866389141487;2.583851701134527;49.53866389141487, 2.583851701134527;22;PICARDIE;0
33;GIRONDE;33256;LUDON-MEDOC;44.9803239234104;-0.590569121795107;44.980323923410396, -0.590569121795107;72;AQUITAINE;0
67;BAS-RHIN;67230;KALTENHOUSE;48.79023649027733;7.833035174681626;48.79023649027733, 7.833035174681626;42;ALSACE;0
91;ESSONNE;91347;LONGPONT-SUR-ORGE;48.640455693382464;2.286470610433681;48.640455693382464, 2.286470610433681;11;ILE-DE-FRANCE;0
77;SEINE-ET-MARNE;77426;SAINT-MERY;48.57030816496138;2.837915244587313;48.57030816496138, 2.837915244587313;11;ILE-DE-FRANCE;0
89;YONNE;89054;BRANNAY;48.22733977653914;3.125124597370456;48.22733977653914, 3.125124597370456;26;BOURGOGNE;0
95;"""VAL-D'OISE""";95306;HERBLAY;49.00070027626384;2.149676807761108;49.000700276263835, 2.149676807761108;11;ILE-DE-FRANCE;0
86;VIENNE;86148;MARNAY;46.39301885011935;0.347317602515975;46.39301885011935, 0.34731760251597504;54;POITOU-CHARENTES;0
34;HERAULT;34103;FONTES;43.54199675411175;3.390265560073468;43.54199675411175, 3.390265560073468;91;LANGUEDOC-ROUSSILLON;0
04;ALPES-DE-HAUTE-PROVENCE;04154;PONTIS;44.49569189630304;6.365237765926927;44.49569189630304, 6.365237765926927;93;"""PROVENCE-ALPES-COTE D'AZUR""";0
69;RHONE;69187;SAINT-CLEMENT-LES-PLACES;45.75618969103803;4.420604249047892;45.75618969103803, 4.420604249047892;82;RHONE-ALPES;0
95;"""VAL-D'OISE""";95446;NESLES-LA-VALLEE;49.1260403897508;2.171762672516265;49.1260403897508, 2.171762672516265;11;ILE-DE-FRANCE;0
24;DORDOGNE;24191;FRAISSE;44.93363488224957;0.303365596651215;44.933634882249564, 0.30336559665121504;72;AQUITAINE;0
10;AUBE;10048;BLIGNY;48.17370096236383;4.604518710902428;48.17370096236383, 4.604518710902428;21;CHAMPAGNE-ARDENNE;0
59;NORD;59150;COBRIEUX;50.53918961979144;3.240349535949973;50.53918961979144, 3.240349535949973;31;NORD-PAS-DE-CALAIS;0
79;DEUX-SEVRES;79313;SEPVRET;46.29024334147696;-0.094581225279168;46.29024334147696, -0.09458122527916801;54;POITOU-CHARENTES;0
48;LOZERE;48176;SAINT-PIERRE-DES-TRIPIERS;44.22432005044633;3.26998184023556;44.22432005044633, 3.26998184023556;91;LANGUEDOC-ROUSSILLON;0
24;DORDOGNE;24378;SAINT-AVIT-RIVIERE;44.74015938292446;0.906593699916955;44.74015938292446, 0.906593699916955;72;AQUITAINE;0
07;ARDECHE;07159;MIRABEL;44.59605742240756;4.496164942424368;44.59605742240756, 4.496164942424368;82;RHONE-ALPES;0
06;ALPES-MARITIMES;06047;CONSEGUDES;43.84069572177812;7.045036708873292;43.84069572177812, 7.045036708873292;93;"""PROVENCE-ALPES-COTE D'AZUR""";0
72;SARTHE;72099;COURCEBOEUFS;48.12655379438305;0.282062390388249;48.12655379438305, 0.28206239038824904;52;PAYS DE LA LOIRE;0
34;HERAULT;34025;BASSAN;43.40840265144399;3.254540041798599;43.408402651443986, 3.254540041798599;91;LANGUEDOC-ROUSSILLON;0
29;FINISTERE;29101;LANDEDA;48.58894493635563;-4.576968079585123;48.58894493635563, -4.576968079585123;53;BRETAGNE;0
29;FINISTERE;29239;ROSCOFF;48.7123362900999;-3.989722875996412;48.7123362900999, -3.989722875996412;53;BRETAGNE;0
62;PAS-DE-CALAIS;62483;LACRES;50.60345460083124;1.761972134466555;50.60345460083124, 1.761972134466555;31;NORD-PAS-DE-CALAIS;0
54;MEURTHE-ET-MOSELLE;54487;SAINT-REMY-AUX-BOIS;48.41605034881222;6.396255609397003;48.41605034881222, 6.396255609397003;41;LORRAINE;0
22;"""COTES-D'ARMOR""";22373;TREOGAN;48.18671409814532;-3.530084602261658;48.18671409814532, -3.530084602261658;53;BRETAGNE;0
63;PUY-DE-DOME;63310;SAINTE-AGATHE;45.82123746292558;3.622747984346677;45.82123746292558, 3.622747984346677;83;AUVERGNE;0
26;DROME;26312;SAINT-MARCEL-LES-SAUZET;44.60078620885648;4.804357224286032;44.600786208856476, 4.804357224286032;82;RHONE-ALPES;0
44;LOIRE-ATLANTIQUE;44163;SAINT-HERBLON;47.40638012153444;-1.11538134874414;47.40638012153444, -1.11538134874414;52;PAYS DE LA LOIRE;0
52;HAUTE-MARNE;52246;HUMES-JORQUENAY;47.90372798967316;5.304373689638202;47.90372798967316, 5.304373689638202;21;CHAMPAGNE-ARDENNE;0
54;MEURTHE-ET-MOSELLE;54184;ESSEY-LES-NANCY;48.70756497734238;6.23284287776172;48.70756497734238, 6.23284287776172;41;LORRAINE;0
27;EURE;27016;LES ANDELYS;49.24590867842938;1.428050866044913;49.24590867842938, 1.428050866044913;23;HAUTE-NORMANDIE;0
51;MARNE;51005;ALLEMANT;48.76153460166594;3.816020784597941;48.76153460166594, 3.8160207845979413;21;CHAMPAGNE-ARDENNE;0
50;MANCHE;50554;SAINT-SENIER-SOUS-AVRANCHES;48.68706533864212;-1.319131189150067;48.68706533864212, -1.319131189150067;25;BASSE-NORMANDIE;0
39;JURA;39269;JEURRE;46.36899377373153;5.704784725286031;46.36899377373153, 5.704784725286031;43;FRANCHE-COMTE;0
64;PYRENEES-ATLANTIQUES;64025;ANGOUS;43.29283898106508;-0.812536653192914;43.29283898106508, -0.812536653192914;72;AQUITAINE;0
17;CHARENTE-MARITIME;17430;SOUBRAN;45.35426313057455;-0.519282663834789;45.35426313057455, -0.519282663834789;54;POITOU-CHARENTES;0
33;GIRONDE;33434;SAINT-LOUIS-DE-MONTFERRAND;44.95827436139061;-0.5330928005440461;44.95827436139061, -0.5330928005440461;72;AQUITAINE;0
03;ALLIER;03259;SAINT-SAUVIER;46.3965943909505;2.331545849124718;46.396594390950504, 2.331545849124718;83;AUVERGNE;0
73;SAVOIE;73147;LOISIEUX;45.64841576552101;5.726483845844383;45.64841576552101, 5.726483845844383;82;RHONE-ALPES;0
80;SOMME;80220;COURTEMANCHE;49.66448297317328;2.5453745616629853;49.66448297317328, 2.5453745616629853;22;PICARDIE;0
78;YVELINES;78263;GAMBAIS;48.77960899512524;1.676517423352156;48.77960899512524, 1.676517423352156;11;ILE-DE-FRANCE;0
77;SEINE-ET-MARNE;77314;MONTOLIVET;48.82796325337336;3.431592504748946;48.827963253373355, 3.431592504748946;11;ILE-DE-FRANCE;0
12;AVEYRON;12251;SAINT-VICTOR-ET-MELVIEU;44.050783749244005;2.810219225034797;44.050783749244005, 2.810219225034797;73;MIDI-PYRENEES;0
07;ARDECHE;07193;ROCHER;44.58058139085126;4.279067594300294;44.58058139085126, 4.279067594300294;82;RHONE-ALPES;0
52;HAUTE-MARNE;52229;GRENANT;47.70746692174791;5.494418205533664;47.70746692174791, 5.4944182055336634;21;CHAMPAGNE-ARDENNE;0
10;AUBE;10414;VILLELOUP;48.35461920593281;3.86858896274603;48.35461920593281, 3.86858896274603;21;CHAMPAGNE-ARDENNE;0
40;LANDES;40275;SAINT-MAURICE-SUR-ADOUR;43.7918644128576;-0.466687909034186;43.7918644128576, -0.46668790903418605;72;AQUITAINE;0
89;YONNE;89326;ROSOY;48.148687182075925;3.312207404811677;48.148687182075925, 3.312207404811677;26;BOURGOGNE;0
74;HAUTE-SAVOIE;74290;VALLORCINE;46.025877177959984;6.900555564493056;46.025877177959984, 6.900555564493056;82;RHONE-ALPES;0
62;PAS-DE-CALAIS;62562;MATRINGHEM;50.545622340323305;2.16665746182167;50.545622340323305, 2.16665746182167;31;NORD-PAS-DE-CALAIS;0
62;PAS-DE-CALAIS;62628;NOYELLES-SOUS-LENS;50.428682270621714;2.875596534159058;50.428682270621714, 2.875596534159058;31;NORD-PAS-DE-CALAIS;0
86;VIENNE;86140;LUSSAC-LES-CHATEAUX;46.4057829015373;0.7301226137138701;46.4057829015373, 0.7301226137138701;54;POITOU-CHARENTES;0
70;HAUTE-SAONE;70039;AUTOREILLE;47.37062526901536;5.824791729291929;47.37062526901536, 5.824791729291929;43;FRANCHE-COMTE;0
62;PAS-DE-CALAIS;62889;WIERRE-EFFROY;50.771866325259886;1.737162813891248;50.771866325259886, 1.737162813891248;31;NORD-PAS-DE-CALAIS;0
59;NORD;59374;MARBAIX;50.12805801683045;3.836506552366637;50.12805801683045, 3.836506552366637;31;NORD-PAS-DE-CALAIS;0
74;HAUTE-SAVOIE;74164;MARIGNIER;46.09502891672986;6.49446931690306;46.09502891672986, 6.49446931690306;82;RHONE-ALPES;0
37;INDRE-ET-LOIRE;37246;SENNEVIERES;47.11262966866925;1.1063285990380891;47.11262966866925, 1.1063285990380891;24;CENTRE;0
67;BAS-RHIN;67240;KIRCHHEIM;48.60591060520592;7.488842014446792;48.60591060520592, 7.488842014446792;42;ALSACE;0
16;CHARENTE;16168;JAULDES;45.7808261201952;0.250693934038027;45.780826120195194, 0.25069393403802703;54;POITOU-CHARENTES;0
76;SEINE-MARITIME;76122;CALLENGEVILLE;49.82408560655163;1.522060180135392;49.82408560655163, 1.5220601801353921;23;HAUTE-NORMANDIE;0
44;LOIRE-ATLANTIQUE;44121;PETIT-AUVERNE;47.61136109520783;-1.277735975460732;47.61136109520783, -1.277735975460732;52;PAYS DE LA LOIRE;0
15;CANTAL;15131;LE MONTEIL;45.299157579425;2.507865692534951;45.299157579425, 2.507865692534951;83;AUVERGNE;0
21;"""COTE-D'OR""";21179;CLENAY;47.41354131378501;5.114489883947332;47.413541313785004, 5.114489883947332;26;BOURGOGNE;0
67;BAS-RHIN;67382;QUATZENHEIM;48.6274123136248;7.576023111429003;48.6274123136248, 7.576023111429003;42;ALSACE;0
34;HERAULT;34173;MONTPEYROUX;43.71115812501106;3.502405552027869;43.71115812501106, 3.502405552027869;91;LANGUEDOC-ROUSSILLON;0
27;EURE;27564;SAINT-MARDS-DE-FRESNE;49.08059404417608;0.454584726237905;49.080594044176074, 0.454584726237905;23;HAUTE-NORMANDIE;0
54;MEURTHE-ET-MOSELLE;54082;BONCOURT;49.17251357729827;5.82265705677603;49.17251357729827, 5.82265705677603;41;LORRAINE;0
64;PYRENEES-ATLANTIQUES;64108;BELLOCQ;43.5092272401608;-0.9212641186114272;43.5092272401608, -0.9212641186114271;72;AQUITAINE;0
71;SAONE-ET-LOIRE;71135;CLESSE;46.41815483104833;4.821856402713788;46.41815483104833, 4.821856402713788;26;BOURGOGNE;0
10;AUBE;10162;FRESNOY-LE-CHATEAU;48.22011812088415;4.233544377526702;48.220118120884145, 4.233544377526702;21;CHAMPAGNE-ARDENNE;0
31;HAUTE-GARONNE;31353;MONES;43.41816697381269;1.033207589998346;43.41816697381269, 1.033207589998346;73;MIDI-PYRENEES;0
64;PYRENEES-ATLANTIQUES;64129;BILLERE;43.30452599372367;-0.393492580041216;43.304525993723665, -0.393492580041216;72;AQUITAINE;0
30;GARD;30306;SALINELLES;43.811320194847575;4.066733397146991;43.811320194847575, 4.066733397146991;91;LANGUEDOC-ROUSSILLON;0
49;MAINE-ET-LOIRE;49373;VIHIERS;47.13733015244284;-0.55945006400484;47.13733015244284, -0.55945006400484;52;PAYS DE LA LOIRE;0
32;GERS;32050;BETPLAN;43.41865714323091;0.209559608430594;43.41865714323091, 0.209559608430594;73;MIDI-PYRENEES;0
88;VOSGES;88443;SARTES;48.24316456890117;5.667892663226384;48.24316456890117, 5.667892663226384;41;LORRAINE;0
40;LANDES;40258;SAINTE-FOY;43.935321052517736;-0.326805898415203;43.935321052517736, -0.326805898415203;72;AQUITAINE;0
21;"""COTE-D'OR""";21591;SAVIGNY-LE-SEC;47.43402955895076;5.041781026461551;47.434029558950755, 5.041781026461551;26;BOURGOGNE;0
40;LANDES;40196;MONTSOUE;43.73034056460311;-0.5061091911507151;43.73034056460311, -0.5061091911507151;72;AQUITAINE;0
