,MEN_nmen,MEN_nmencomp,codecommune
6358,27,2,21047
6359,47,8,21048
6360,61,1,21050
6361,38,1,21051
6362,56,1,21053
6363,6448,349,21054
6364,177,13,21056
6365,44,9,21057
6366,108,7,21058
6367,84,10,21059
6368,236,19,21060
6369,38,6,21061
6370,59,11,21062
6371,36,4,21063
6372,24,6,21064
6373,26,3,21065
6374,114,6,21067
6375,35,4,21068
6376,43,2,21069
6377,24,0,21070
6378,184,8,21071
6379,38,4,21072
6380,31,2,21075
6381,145,14,21076
6382,40,6,21077
6383,28,1,21078
6384,42,4,21079
6385,160,6,21080
6386,23,4,21081
6387,23,4,21082
6388,69,10,21083
6389,9,1,21084
6390,48,6,21085
6391,231,10,21086
6392,252,23,21087
6393,48,1,21088
6394,80,8,21089
6395,36,2,21090
6396,60,4,21092
6397,62,9,21093
6398,100,9,21094
6399,43,2,21096
6400,62,10,21098
6401,64,3,21099
6402,62,4,21101
6403,74,7,21102
6404,666,76,21103
6405,40,4,21104
6406,31,1,21105
6407,115,12,21106
6408,135,12,21107
6409,30,6,21108
6410,90,4,21109
6411,198,11,21110
6412,37,1,21111
6413,68,6,21112
6414,12,1,21113
6415,64,2,21114
6416,97,12,21115
6417,61,4,21116
6418,20,3,21117
6419,57,5,21120
6420,24,2,21121
6421,113,13,21122
6422,77,10,21124
6423,93,6,21125
6424,98,15,21126
6425,113,15,21127
6426,94,8,21128
6427,42,7,21130
6428,122,13,21131
6429,39,3,21132
6430,138,8,21133
6431,111,12,21134
6432,89,8,21135
6433,23,4,21137
6434,158,11,21138
6435,105,18,21139
6436,32,6,21140
6437,74,7,21142
6438,28,4,21143
6439,23,1,21146
6440,72,7,21148
6441,72,7,21149
6442,173,8,21150
6443,34,4,21151
6444,29,3,21152
6445,59,5,21153
6446,2363,131,21154
6447,46,8,21158
6448,55,5,21159
6449,28,7,21160
6450,36,3,21161
6451,84,1,21162
6452,56,7,21163
6453,49,8,21164
6454,28,5,21165
6455,6203,357,21166
6456,29,0,21167
6457,35,2,21169
6458,57,2,21170
6459,1458,66,21171
6460,82,2,21172
6461,157,9,21173
6462,26,2,21175
6463,26,4,21176
6464,80,5,21177
6465,17,2,21178
6466,66,11,21179
6467,28,0,21180
6468,46,10,21181
6469,23,2,21182
6470,100,12,21183
6471,17,1,21184
6472,42,4,21185
6473,213,15,21186
6474,49,6,21187
6475,80,3,21189
6476,68,5,21190
6477,79,7,21191
6478,114,13,21192
6479,73,11,21193
6480,304,31,21194
6481,60,3,21195
6482,165,6,21196
6483,81,7,21198
6484,56,5,21199
6485,355,29,21200
6486,104,10,21201
6487,72,6,21202
6488,41,6,21203
6489,32,4,21204
6490,41,8,21205
6491,21,3,21207
6492,44,1,21208
6493,184,11,21209
6494,110,9,21210
6495,38,3,21211
6496,118,4,21212
6497,87,12,21214
6498,25,1,21215
6499,24,11,21216
6500,9,1,21217
6501,8,1,21218
6502,25,1,21219
6503,47,4,21220
6504,53,11,21222
6505,153,10,21223
6506,20,5,21224
6507,30,5,21225
6508,129,11,21226
6509,57,3,21227
6510,25,2,21228
6511,30,2,21229
6512,53,3,21230
6513,54787,2541,21231
6514,70,6,21232
6515,28,3,21233
6516,13,0,21234
6517,28,3,21236
6518,50,4,21237
6519,24,1,21238
6520,185,19,21239
6521,29,1,21240
6522,60,6,21241
6523,46,6,21242
6524,29,6,21243
6525,18,2,21244
6526,47,4,21245
6527,28,3,21246
6528,229,23,21247
6529,28,5,21248
6530,206,17,21249
6531,48,2,21250
6532,58,6,21251
6533,46,5,21252
6534,72,12,21253
6535,54,7,21254
6536,49,3,21255
6537,54,5,21256
6538,21,3,21257
6539,74,3,21258
6540,64,4,21259
6541,57,4,21260
6542,151,16,21261
6543,293,25,21263
6544,19,4,21264
6545,262,24,21265
6546,33,4,21266
6547,104,8,21267
6548,105,3,21269
6549,22,2,21270
6550,120,17,21271
6551,42,4,21272
6552,222,18,21273
6553,59,6,21274
6554,47,8,21275
6555,51,11,21276
6556,297,16,21277
6557,1585,119,21278
6558,61,10,21280
6559,36,3,21281
6560,30,4,21282
6561,20,2,21283
6562,48,3,21284
6563,105,7,21285
6564,15,1,21286
6565,55,6,21287
6566,98,8,21288
6567,26,4,21289
6568,206,12,21290
6569,90,12,21291
6570,1201,76,21292
6571,25,0,21293
6572,61,6,21294
6573,928,73,21295
6574,74,5,21296
6575,146,10,21297
6576,32,4,21298
6577,46,4,21299
6578,68,4,21300
6579,45,5,21301
6580,64,5,21302
6581,100,8,21304
6582,114,10,21305
6583,31,2,21306
6584,52,8,21307
6585,97,14,21308
6586,40,6,21309
6587,46,6,21310
6588,13,4,21311
6589,33,2,21313
6590,29,3,21314
6591,97,8,21315
6592,114,9,21316
6593,1150,60,21317
6594,72,6,21319
6595,96,6,21320
6596,44,9,21321
6597,99,7,21322
6598,26,2,21323
6599,82,23,21325
6600,30,9,21326
6601,49,8,21327
6602,17,3,21329
6603,85,4,21330
6604,209,16,21331
6605,218,11,21332
6606,61,4,21333
6607,267,26,21334
6608,39,7,21335
6609,334,19,21336
6610,421,37,21337
6611,75,9,21338
6612,100,12,21339
6613,35,2,21340
6614,34,2,21341
6615,82,8,21342
6616,33,0,21343
6617,46,2,21344
6618,95,9,21345
6619,151,13,21346
6620,62,3,21347
6621,35,3,21348
6622,219,28,21349
6623,239,21,21351
6624,82,10,21352
6625,188,23,21353
6626,21,5,21354
6627,2260,129,21355
6628,383,25,21356
6629,48,6,21357
6630,72,10,21358
6631,28,2,21359
6632,31,4,21360
6633,140,15,21361
6634,33,7,21362
6635,110,28,21363
6636,33,3,21364
6637,21,2,21365
6638,51,3,21366
6639,53,5,21367
6640,56,12,21368
6641,75,9,21369
6642,110,14,21370
6643,226,16,21371
6644,36,4,21372
6645,197,11,21373
6646,94,14,21374
6647,115,10,21375
6648,13,3,21376
6649,58,4,21378
6650,77,6,21379
6651,23,2,21380
6652,36,4,21381
6653,77,9,21382
6654,360,21,21383
6655,18,2,21384
6656,89,8,21385
6657,121,11,21386
6658,34,6,21387
6659,35,2,21388
6660,63,6,21389
6661,1653,137,21390
6662,130,11,21391
6663,17,1,21392
6664,47,3,21393
6665,34,2,21394
6666,36,3,21395
6667,23,6,21396
6668,46,7,21397
6669,98,6,21398
6670,71,11,21399
6671,98,8,21401
6672,59,5,21403
6673,126,9,21404
6674,133,7,21405
6675,30,2,21406
6676,40,4,21407
6677,240,18,21408
6678,106,4,21409
6679,80,8,21411
6680,607,40,21412
6681,77,6,21413
6682,70,11,21414
6683,106,17,21415
6684,377,30,21416
6685,51,7,21417
6686,26,1,21418
6687,105,8,21419
6688,93,8,21420
6689,74,2,21421
6690,47,6,21422
6691,102,5,21423
6692,35,6,21424
6693,2312,145,21425
6694,75,6,21426
6695,45,5,21427
6696,68,5,21428
6697,100,9,21429
6698,21,2,21430
6699,27,5,21431
6700,155,7,21432
6701,118,11,21433
6702,54,8,21434
6703,81,11,21435
6704,18,2,21436
6705,37,1,21437
6706,36,3,21438
6707,21,1,21439
6708,53,0,21440
6709,112,15,21441
6710,216,19,21442
6711,31,1,21444
6712,73,7,21445
6713,81,13,21446
6714,29,8,21447
6715,31,3,21448
6716,64,8,21449
6717,47,4,21450
6718,37,3,21451
6719,372,22,21452
6720,92,9,21454
6721,66,6,21455
6722,54,8,21456
6723,42,2,21457
6724,107,6,21458
6725,60,6,21459
6726,37,2,21460
6727,587,33,21461
6728,105,5,21462
6729,1634,111,21464
6730,28,3,21465
6731,31,2,21467
6732,45,4,21468
6733,79,4,21469
6734,75,7,21472
6735,228,15,21473
6736,135,6,21474
6737,123,10,21475
6738,68,8,21476
6739,22,1,21477
6740,39,3,21478
6741,36,4,21479
6742,104,4,21480
6743,244,20,21481
6744,165,14,21482
6745,40,3,21483
6746,24,7,21484
6747,698,51,21485
6748,67,7,21487
6749,81,6,21488
6750,35,6,21489
6751,77,9,21490
6752,16,1,21491
6753,260,16,21492
6754,130,8,21493
6755,32,6,21494
6756,30,4,21495
6757,438,28,21496
6758,34,7,21497
6759,69,5,21499
6760,190,16,21500
6761,390,22,21501
6762,213,16,21502
6763,39,2,21503
6764,33,4,21504
6765,196,13,21505
6766,130,11,21506
6767,50,9,21508
6768,47,4,21510
6769,63,5,21511
6770,207,12,21512
6771,56,4,21514
6772,1314,53,21515
6773,22,1,21516
6774,75,8,21517
6775,68,8,21518
6776,195,16,21519
6777,33,5,21520
6778,109,14,21521
6779,144,11,21522
6780,31,2,21523
6781,38,5,21524
6782,384,42,21525
6783,86,6,21527
6784,47,7,21528
6785,77,4,21530
6786,180,13,21531
6787,168,13,21532
6788,42,4,21533
6789,134,13,21534
6790,249,19,21535
6791,119,5,21536
6792,44,2,21537
6793,44,4,21538
6794,16,3,21539
6795,1010,84,21540
6796,106,6,21541
6797,32,1,21542
6798,84,4,21543
6799,18,1,21544
6800,396,36,21545
6801,79,9,21546
6802,36,6,21547
6803,68,19,21548
6804,44,7,21549
6805,31,5,21550
6806,20,1,21553
6807,487,32,21554
6808,222,9,21555
6809,40,2,21556
6810,72,7,21557
6811,156,12,21558
6812,143,5,21559
6813,115,9,21560
6814,83,9,21561
6815,62,6,21562
6816,27,8,21563
6817,88,7,21564
6818,34,5,21565
6819,55,12,21566
6820,80,11,21567
6821,234,23,21568
6822,100,9,21569
6823,65,10,21570
6824,48,4,21571
6825,60,2,21572
6826,112,7,21573
6827,105,10,21574
6828,68,9,21575
6829,65,8,21576
6830,288,24,21577
6831,38,5,21578
6832,92,5,21579
6833,57,2,21580
6834,50,1,21581
6835,344,23,21582
6836,1053,77,21584
6837,311,21,21585
6838,95,7,21586
6839,63,8,21587
6840,42,6,21588
6841,19,1,21589
6842,462,39,21590
6843,155,10,21591
6844,43,4,21592
6845,36,9,21593
6846,74,11,21594
6847,12,0,21595
6848,17,2,21596
6849,13,0,21597
6850,56,7,21598
6851,633,57,21599
6852,28,11,21600
6853,22,1,21601
6854,1437,71,21603
6855,43,5,21604
6856,254,22,21605
6857,379,29,21606
6858,949,50,21607
6859,45,7,21608
6860,41,3,21609
6861,74,6,21610
6862,196,20,21611
6863,13,4,21612
6864,49,5,21613
6865,72,6,21614
6866,103,18,21615
6867,36,4,21616
6868,1396,73,21617
6869,176,15,21618
6870,74,2,21619
6871,33,2,21620
6872,42,5,21622
6873,71,9,21623
6874,17,2,21624
6875,23,1,21625
6876,21,3,21626
6877,55,6,21627
6878,23,1,21628
6879,136,14,21629
6880,63,7,21630
6881,67,8,21632
6882,78,4,21633
6883,50,6,21634
6884,46,12,21635
6885,123,10,21636
6886,60,1,21637
6887,254,20,21638
6888,168,7,21639
6889,60,7,21640
6890,139,19,21641
6891,230,25,21642
6892,68,8,21643
6893,26,3,21644
6894,160,13,21645
6895,43,6,21646
6896,50,5,21647
6897,57,4,21648
6898,24,2,21649
6899,21,1,21650
6900,42,3,21651
6901,69,9,21652
6902,132,10,21655
6903,149,12,21656
6904,285,16,21657
6905,41,6,21659
6906,18,2,21660
6907,249,13,21661
6908,1070,68,21663
6909,39,3,21664
6910,22,1,21665
6911,22,3,21666
6912,101,10,21667
6913,20,1,21669
6914,95,9,21670
6915,57,5,21673
6916,123,11,21674
6917,78,12,21676
6918,33,5,21677
6919,65,12,21678
6920,25,6,21679
6921,165,12,21680
6922,38,3,21681
6923,62,4,21682
6924,180,25,21683
6925,97,8,21684
6926,114,6,21685
6927,46,3,21686
6928,57,11,21687
6929,27,3,21688
6930,25,3,21689
6931,36,7,21690
6932,70,12,21691
6933,48,9,21692
6934,30,6,21693
6935,19,0,21696
6936,86,7,21698
6937,267,19,21699
6938,31,3,21700
6939,34,3,21701
6940,71,4,21702
6941,38,3,21704
6942,28,2,21705
6943,29,2,21706
6944,113,12,21707
6945,67,1,21708
6946,66,6,21709
6947,344,24,21710
6948,32,4,21711
6949,149,6,21712
6950,168,18,21713
6951,196,11,21714
6952,94,13,21715
6953,64,5,21716
6954,126,20,21717
6955,201,21,22001
6956,147,35,22002
6957,133,12,22003
6958,1426,95,22004
6959,420,25,22005
6960,62,6,22006
6961,170,13,22008
6962,95,12,22009
6963,252,24,22011
6964,194,27,22012
6965,816,69,22013
6966,283,50,22014
6967,389,64,22015
6968,209,12,22016
6969,116,11,22018
6970,120,9,22019
6971,779,83,22020
6972,214,23,22021
6973,226,30,22023
6974,149,16,22024
6975,1087,87,22025
6976,146,23,22026
6977,203,20,22027
6978,188,17,22028
6979,198,18,22029
6980,155,11,22030
6981,379,44,22031
6982,650,55,22032
6983,175,5,22033
6984,299,26,22034
6985,285,42,22035
6986,64,10,22036
6987,232,37,22037
6988,201,19,22039
6989,108,14,22040
6990,92,7,22041
6991,134,14,22042
6992,122,11,22043
6993,230,38,22044
6994,118,18,22045
6995,250,23,22046
6996,400,19,22047
6997,604,83,22048
6998,357,39,22049
6999,4756,246,22050
7000,202,17,22052
7001,262,34,22053
7002,1185,111,22054
7003,816,50,22055
7004,509,54,22056
7005,129,13,22057
7006,273,25,22059
7007,233,30,22060
7008,700,38,22061
7009,207,30,22062
7010,190,20,22063
7011,233,9,22064
7012,411,34,22065
7013,592,40,22067
7014,148,15,22068
7015,73,7,22069
7016,3442,167,22070
7017,184,15,22071
7018,180,23,22072
7019,155,22,22073
7020,255,21,22074
7021,174,13,22075
7022,404,71,22076
7023,263,74,22077
7024,514,89,22079
7025,836,124,22081
7026,192,14,22082
7027,265,25,22083
7028,412,61,22084
7029,142,10,22085
7030,161,14,22086
7031,320,33,22087
7032,154,19,22088
7033,162,15,22090
7034,95,10,22091
7035,163,20,22092
7036,2881,324,22093
7037,439,31,22094
7038,84,5,22095
7039,141,16,22096
7040,122,13,22097
7041,232,33,22098
7042,272,35,22099
7043,332,35,22101
7044,175,16,22104
7045,245,32,22105
7046,1046,121,22106
7047,315,26,22107
7048,36,1,22108
7049,99,4,22109
7050,91,9,22110
7051,140,16,22111
7052,125,13,22112
7053,5202,278,22113
7054,362,46,22114
7055,261,30,22115
7056,263,25,22116
7057,242,26,22117
7058,946,54,22118
7059,220,21,22119
7060,418,45,22121
7061,290,38,22122
7062,136,10,22124
7063,42,4,22126
7064,639,60,22127
7065,284,26,22128
7066,53,1,22129
7067,500,45,22131
7068,153,21,22132
7069,208,23,22133
7070,544,38,22134
7071,752,79,22135
7072,2691,201,22136
7073,728,47,22137
7074,232,23,22138
7075,63,6,22139
7076,64,17,22140
7077,52,7,22141
7078,518,58,22143
7079,171,21,22144
7080,237,36,22145
7081,249,16,22146
7082,890,83,22147
7083,112,17,22148
7084,244,34,22149
7085,182,22,22150
7086,227,20,22152
7087,260,17,22153
7088,514,45,22155
7089,172,23,22156
7090,175,14,22157
7091,773,59,22158
7092,142,19,22160
7093,680,49,22161
7094,2832,198,22162
7095,317,16,22163
7096,537,42,22164
7097,906,84,22166
7098,2745,161,22168
7099,82,15,22169
7100,295,37,22170
7101,818,86,22171
7102,752,85,22172
7103,235,34,22174
7104,380,81,22175
7105,1242,137,22176
7106,323,24,22177
7107,429,39,22178
7108,773,84,22179
7109,392,46,22180
7110,286,22,22181
7111,646,77,22182
7112,1019,93,22183
7113,472,83,22184
7114,742,105,22185
7115,1407,119,22186
7116,3046,252,22187
7117,156,15,22188
7118,270,21,22189
7119,751,68,22190
7120,374,59,22193
7121,1117,89,22194
7122,1178,98,22195
7123,353,25,22196
7124,806,76,22197
7125,1003,92,22198
7126,422,42,22199
7127,166,39,22200
7128,348,24,22202
7129,942,133,22203
7130,621,37,22204
7131,150,23,22205
7132,529,49,22206
7133,768,51,22207
7134,545,59,22208
7135,685,83,22209
7136,1199,96,22210
7137,709,69,22211
7138,403,26,22212
7139,944,87,22213
7140,1261,90,22214
7141,2360,190,22215
7142,414,45,22216
7143,206,19,22217
7144,555,57,22218
7145,598,66,22219
7146,543,43,22220
7147,675,62,22221
7148,1548,102,22222
7149,458,43,22223
7150,287,17,22224
7151,1231,86,22225
7152,648,59,22226
7153,267,21,22227
7154,639,52,22228
7155,470,47,22229
7156,215,23,22231
7157,400,50,22232
7158,623,65,22233
7159,247,20,22234
7160,79,5,22235
7161,207,12,22236
7162,401,72,22237
7163,212,16,22238
7164,264,26,22239
7165,430,63,22240
7166,404,53,22241
7167,430,59,22242
7168,266,23,22243
7169,256,22,22244
7170,352,38,22245
7171,324,61,22246
7172,544,63,22248
7173,273,28,22249
7174,484,31,22250
7175,1072,119,22251
7176,366,31,22254
7177,276,26,22255
7178,427,33,22256
7179,109,11,22257
7180,661,102,22258
7181,761,60,22259
7182,195,22,22260
7183,67,15,22261
7184,913,59,22262
7185,117,9,22263
7186,343,29,22264
7187,333,29,22265
7188,1401,95,22266
7189,171,25,22267
7190,166,30,22268
7191,106,6,22271
7192,358,24,22272
7193,360,56,22273
7194,73,11,22274
7195,286,43,22275
7196,58,9,22276
7197,538,63,22277
7198,18020,1068,22278
7199,352,34,22279
7200,216,19,22280
7201,277,40,22281
7202,1144,83,22282
7203,308,27,22283
7204,135,18,22284
7205,130,10,22285
7206,107,20,22286
7207,256,26,22287
7208,154,14,22288
7209,89,9,22289
7210,106,25,22291
7211,150,18,22293
7212,183,14,22294
7213,166,15,22295
7214,286,38,22296
7215,314,34,22299
7216,135,13,22300
7217,360,35,22302
7218,107,11,22304
7219,156,16,22305
7220,124,20,22306
7221,268,26,22307
7222,226,27,22308
7223,86,10,22309
7224,120,5,22310
7225,212,37,22311
7226,87,14,22312
7227,162,20,22313
7228,89,9,22314
7229,77,9,22315
7230,277,26,22316
7231,71,12,22317
7232,85,9,22318
7233,163,7,22319
7234,97,9,22320
7235,798,50,22321
7236,108,15,22322
7237,257,48,22323
7238,266,31,22324
7239,1254,55,22325
7240,87,17,22326
7241,183,16,22327
7242,225,22,22328
7243,176,29,22330
7244,115,10,22331
7245,110,20,22332
7246,273,23,22333
7247,110,32,22334
7248,109,21,22335
7249,444,66,22337
7250,171,14,22338
7251,454,39,22339
7252,312,26,22340
7253,151,28,22341
7254,105,16,22342
7255,1068,67,22343
7256,265,19,22344
7257,239,47,22345
7258,170,41,22346
7259,351,32,22347
7260,165,23,22348
7261,355,15,22349
7262,61,8,22350
7263,117,10,22351
7264,102,10,22352
7265,717,42,22353
7266,234,24,22354
7267,182,22,22356
7268,106,11,22358
7269,199,25,22359
7270,1232,128,22360
7271,162,19,22361
7272,971,80,22362
7273,343,28,22363
7274,417,40,22364
7275,72,7,22365
7276,167,15,22366
7277,147,7,22368
7278,217,24,22369
7279,105,6,22370
7280,369,37,22371
7281,300,24,22372
7282,58,4,22373
7283,152,12,22375
7284,363,33,22376
7285,203,18,22377
7286,81,7,22378
7287,454,37,22379
7288,181,27,22380
7289,62,8,22381
7290,97,4,22383
7291,329,29,22384
7292,258,20,22385
7293,240,30,22386
7294,476,38,22387
7295,220,17,22388
7296,810,87,22389
7297,220,25,22390
7298,408,47,22391
7299,577,60,23001
7300,244,43,23002
7301,60,12,23003
7302,216,41,23004
7303,84,19,23005
7304,134,20,23006
7305,112,10,23007
7306,2207,143,23008
7307,55,6,23009
7308,55,18,23010
7309,77,14,23011
7310,81,10,23012
7311,584,52,23013
7312,65,16,23014
7313,352,88,23015
7314,60,9,23016
7315,93,17,23017
7316,143,29,23018
7317,154,13,23020
7318,385,32,23021
7319,226,40,23022
7320,40,7,23023
7321,106,23,23024
7322,506,65,23025
7323,174,22,23026
7324,141,19,23027
7325,41,9,23028
7326,115,15,23029
7327,1315,122,23030
7328,686,49,23031
7329,296,45,23032
7330,96,10,23033
7331,219,41,23035
7332,467,66,23036
7333,44,13,23037
7334,123,25,23038
7335,273,50,23039
7336,70,14,23040
7337,177,24,23041
7338,71,19,23042
7339,43,2,23043
7340,45,11,23044
7341,441,44,23045
7342,43,16,23046
7343,102,19,23047
7344,175,32,23048
7345,88,9,23049
7346,82,13,23050
7347,50,6,23051
7348,98,17,23052
7349,82,20,23053
7350,111,44,23054
7351,204,30,23056
7352,261,20,23057
7353,48,10,23058
7354,36,9,23059
7355,66,9,23060
7356,268,16,23061
7357,270,41,23062
7358,88,8,23063
7359,307,42,23064
7360,123,15,23065
7361,93,24,23066
7362,397,44,23067
7363,257,37,23068
7364,278,29,23069
7365,293,47,23070
7366,90,9,23071
7367,140,17,23072
7368,195,55,23073
7369,109,13,23074
7370,456,47,23075
7371,613,70,23076
7372,167,26,23077
7373,62,15,23078
7374,815,54,23079
7375,46,8,23080
7376,171,28,23081
7377,97,21,23082
7378,108,27,23083
7379,97,7,23084
7380,116,21,23086
7381,352,64,23087
7382,62,10,23088
7383,333,53,23089
7384,165,21,23090
7385,75,16,23091
7386,188,42,23092
7387,523,73,23093
7388,492,127,23095
7389,5271,361,23096
7390,137,34,23097
7391,52,9,23098
7392,183,41,23099
7393,176,18,23100
7394,144,28,23101
7395,157,24,23102
7396,210,44,23103
7397,122,18,23104
7398,437,28,23105
7399,143,20,23106
7400,112,14,23107
7401,74,15,23108
7402,95,15,23109
7403,30,4,23110
7404,93,28,23111
7405,411,71,23112
7406,132,33,23113
7407,167,41,23114
7408,158,19,23115
7409,243,47,23116
7410,121,19,23117
7411,88,22,23118
7412,116,27,23120
7413,36,6,23122
7414,106,25,23123
7415,295,50,23124
7416,47,5,23125
7417,127,15,23127
7418,53,13,23128
7419,32,8,23129
7420,263,31,23130
7421,355,68,23131
7422,161,37,23132
7423,150,27,23133
7424,98,9,23134
7425,137,26,23136
7426,301,55,23137
7427,95,14,23138
7428,267,48,23139
7429,186,18,23140
7430,307,86,23141
7431,140,21,23142
7432,157,42,23143
7433,136,23,23144
7434,147,29,23145
7435,148,29,23146
7436,74,9,23147
7437,145,19,23148
7438,246,35,23149
7439,45,5,23150
7440,224,54,23151
7441,39,9,23152
7442,281,39,23154
7443,151,13,23155
7444,47,13,23156
7445,45,7,23157
7446,66,12,23158
7447,67,18,23159
7448,127,38,23160
7449,162,39,23162
7450,238,70,23164
7451,239,36,23165
7452,92,21,23166
7453,193,43,23167
7454,362,74,23168
7455,113,15,23169
7456,39,4,23170
7457,69,21,23171
7458,60,14,23172
7459,61,8,23173
7460,253,43,23174
7461,77,12,23175
7462,1869,124,23176
7463,365,84,23177
7464,101,23,23178
7465,101,17,23179
7466,81,13,23180
7467,111,10,23181
7468,85,17,23182
7469,30,9,23183
7470,46,9,23184
7471,140,37,23185
7472,38,9,23186
7473,99,24,23187
7474,95,19,23188
7475,419,58,23189
7476,95,18,23190
7477,95,15,23191
7478,325,50,23192
7479,517,59,23193
7480,40,6,23194
7481,153,28,23195
7482,77,19,23196
7483,173,19,23197
7484,75,19,23198
7485,161,22,23199
7486,105,17,23200
7487,81,11,23201
7488,135,17,23202
7489,73,20,23203
7490,74,18,23204
7491,92,11,23205
7492,133,26,23206
7493,74,23,23207
7494,110,24,23208
7495,87,18,23209
7496,92,23,23210
7497,116,22,23211
7498,49,8,23212
7499,106,16,23213
7500,114,13,23214
7501,44,10,23215
7502,97,15,23216
7503,199,37,23217
7504,71,23,23218
7505,357,64,23219
7506,284,51,23220
7507,116,23,23221
7508,75,18,23222
7509,145,18,23223
7510,37,4,23224
7511,60,11,23225
7512,70,17,23226
7513,101,16,23227
7514,51,10,23228
7515,161,28,23229
7516,87,16,23230
7517,125,13,23232
7518,75,15,23233
7519,109,25,23234
7520,235,48,23235
7521,134,38,23236
7522,151,23,23238
7523,351,59,23239
7524,172,24,23240
7525,90,19,23241
7526,88,20,23242
7527,78,14,23243
7528,280,57,23244
7529,412,63,23245
7530,167,17,23246
7531,617,92,23247
7532,112,26,23248
7533,113,18,23249
7534,126,17,23250
7535,65,20,23251
7536,102,16,23252
7537,64,14,23253
7538,166,45,23254
7539,58,10,23255
7540,327,39,23257
7541,118,19,23258
7542,36,10,23259
7543,82,13,23260
7544,127,16,23261
7545,51,7,23262
7546,132,28,23263
7547,46,5,23265
7548,70,22,23266
7549,268,32,24001
7550,355,54,24002
7551,106,17,24004
7552,99,24,24005
7553,66,13,24006
7554,175,29,24007
7555,223,46,24008
7556,89,25,24009
7557,225,17,24010
7558,257,33,24011
7559,86,37,24012
7560,102,23,24014
7561,39,8,24015
7562,267,44,24016
7563,103,21,24018
7564,152,38,24019
7565,233,25,24020
7566,164,35,24021
7567,48,6,24022
7568,79,11,24023
7569,70,19,24025
7570,221,34,24026
7571,99,19,24027
7572,398,57,24028
7573,154,38,24029
7574,162,31,24030
7575,59,20,24031
7576,125,20,24032
7577,64,14,24034
7578,562,60,24035
7579,51,11,24036
7580,9789,780,24037
7581,100,17,24038
7582,59,21,24039
7583,121,24,24040
7584,105,31,24042
7585,40,7,24043
7586,67,14,24045
7587,52,13,24046
7588,68,4,24048
7589,100,36,24050
7590,58,18,24051
7591,34,8,24052
7592,1356,145,24053
7593,134,15,24054
7594,219,27,24055
7595,71,10,24056
7596,25,3,24057
7597,68,8,24058
7598,87,14,24059
7599,27,4,24060
7600,34,8,24061
7601,76,11,24062
7602,41,17,24063
7603,677,83,24064
7604,67,10,24066
7605,936,106,24067
7606,757,92,24068
7607,63,15,24069
7608,265,32,24070
7609,197,41,24071
7610,108,21,24073
7611,143,26,24074
7612,94,39,24075
7613,69,19,24076
7614,123,21,24077
7615,120,30,24080
7616,173,26,24081
7617,242,39,24082
7618,63,19,24083
7619,42,14,24084
7620,39,7,24085
7621,131,22,24086
7622,148,26,24087
7623,79,20,24088
7624,186,41,24090
7625,254,64,24091
7626,82,7,24094
7627,163,19,24095
7628,179,37,24096
7629,173,36,24097
7630,402,59,24098
7631,201,22,24100
7632,132,18,24101
7633,798,79,24102
7634,146,26,24104
7635,48,7,24105
7636,87,23,24106
7637,151,24,24107
7638,105,18,24108
7639,48,12,24109
7640,27,3,24110
7641,27,4,24111
7642,21,7,24113
7643,36,5,24114
7644,366,45,24115
7645,61,12,24116
7646,87,16,24117
7647,124,16,24119
7648,248,46,24120
7649,28,9,24122
7650,27,11,24123
7651,88,17,24124
7652,64,8,24126
7653,52,5,24128
7654,112,28,24129
7655,262,30,24130
7656,35,7,24131
7657,49,6,24132
7658,578,65,24133
7659,333,42,24134
7660,86,16,24135
7661,66,18,24136
7662,233,40,24137
7663,2487,297,24138
7664,172,36,24139
7665,263,34,24140
7666,53,9,24141
7667,242,36,24142
7668,329,29,24143
7669,30,6,24144
7670,549,65,24145
7671,44,12,24146
7672,229,20,24147
7673,64,11,24148
7674,201,39,24150
7675,34,15,24151
7676,314,36,24152
7677,74,27,24153
7678,80,13,24154
7679,104,19,24155
7680,232,40,24156
7681,248,31,24157
7682,176,31,24158
7683,132,13,24159
7684,85,19,24160
7685,36,10,24161
7686,58,9,24162
7687,59,16,24163
7688,562,49,24164
7689,129,19,24165
7690,990,104,24167
7691,147,18,24168
7692,139,19,24171
7693,331,36,24172
7694,43,17,24174
7695,52,8,24175
7696,159,28,24177
7697,117,20,24179
7698,153,21,24180
7699,397,45,24182
7700,77,17,24183
7701,59,29,24184
7702,82,9,24186
7703,168,31,24188
7704,118,12,24189
7705,52,18,24190
7706,44,15,24191
7707,38,7,24192
7708,111,19,24193
7709,414,33,24194
7710,35,11,24195
7711,226,42,24196
7712,130,21,24197
7713,113,21,24199
7714,185,48,24200
7715,78,26,24202
7716,149,33,24205
7717,38,13,24206
7718,161,34,24207
7719,55,4,24208
7720,56,3,24209
7721,379,63,24210
7722,142,24,24211
7723,228,29,24212
7724,42,8,24213
7725,358,60,24214
7726,62,31,24215
7727,46,7,24216
7728,84,19,24217
7729,539,83,24218
7730,165,40,24220
7731,48,9,24221
7732,495,47,24222
7733,1039,93,24223
7734,122,15,24224
7735,445,68,24225
7736,327,41,24226
7737,392,38,24227
7738,164,27,24228
7739,660,68,24229
7740,31,12,24230
7741,26,4,24231
7742,34,13,24232
7743,84,21,24234
7744,118,16,24236
7745,219,35,24237
7746,46,9,24238
7747,105,16,24240
7748,126,19,24241
