,EMP_emp2006,EMP_adm2006,EMP_agr2006,EMP_cre2006,EMP_loi2006,EMP_dis2006,EMP_edu2006,EMP_fab2006,EMP_bag2006,EMP_tra2006,EMP_san2006,EMP_res2006,EMP_emp2016,EMP_adm2016,EMP_agr2016,EMP_cre2016,EMP_loi2016,EMP_dis2016,EMP_edu2016,EMP_fab2016,EMP_bag2016,EMP_tra2016,EMP_san2016,EMP_res2016,DBL_dep,DBL_nomdep,DBL_nomcommune,EMP_codecommune,EMP_btp_cie2006,EMP_btp_cie2016,EMP_rep_con2016,EMP_rep_con2006
1056,80.044785,3.9939446,16.175137,0.0,0.0,8.0,0.0,0.0,3.9939446,0.0,0.0,0.0,15.128705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,EURE,ACLOU,27001,42.049133,15.128705,0.0,5.832624
1057,43.483482,3.9388647,3.9234972,0.0,3.9388647,3.9388647,0.0,0.0,3.9388647,0.0,0.0,15.926796,88.389511,20.186714,5.0534186,0.0,0.0,10.044208,0.0,9.9815779,0.0,0.0,0.0,20.097626,27,EURE,ACON,27002,0.0,10.106837,12.919126,7.8777294
1058,717.33075,15.051045,12.0,7.2041779,5.1205964,15.450662,5.0022292,231.7394,79.368645,116.98958,12.014745,86.92643,564.12732,33.557396,5.0062656,6.9842572,10.206612,32.612705,22.551689,161.19041,45.875698,70.710312,29.591421,58.076797,27,EURE,ACQUIGNY,27003,79.794645,38.527931,49.235844,50.668609000000004
1059,61.818092,0.0,0.0,2.8958669,0.0,4.0,7.5302877,4.1447144,6.8958669,16.550959,0.0,0.0,33.69315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1618629,0.0,0.0,0.0,27,EURE,AIGLEVILLE,27004,15.9290538,18.267312,10.263975,3.871345
1060,192.18245,0.0,24.987951,0.0,4.0,0.0,11.806452,1.0965089,21.039373,2.8669951,0.0,31.50226,122.39862,4.9424443,9.1577845,0.0,0.0,10.0,11.180992,12.70061,5.0214391,12.641336,0.0,15.0,27,EURE,AILLY,27005,75.695374,28.1744385,13.5795746,19.187525100000002
1061,7.7927055,0.0,0.0,0.0,0.0,0.0,0.0,3.8963528,0.0,0.0,3.8963528,0.0,20.404964,4.8324447,5.1908398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1908398,27,EURE,AIZIER,27006,0.0,5.1908398,0.0,0.0
1062,1072.1018,15.708455,7.8542275,39.192562,7.8542275,20.197094,6.6775641,440.08478,87.758835,149.33063,14.251366,33.99966,918.05652,71.429741,0.0,28.444965,0.0,7.5989795,9.8408928,251.02284,137.56134,119.49635,35.268024,51.683174,27,EURE,ALIZAY,27008,77.64681200000001,76.328262,129.381925,171.545601
1063,87.757713,3.9756591,12.0818,0.0,0.0,11.951046,0.0,27.791,8.0609474,3.9612927,4.0333333,11.926978,118.62974,0.0,15.052497,0.0,0.0,5.0564971,3.3031752,20.009531,10.088339,14.673838,0.0,19.923044,27,EURE,AMBENAY,27009,0.0,30.522818,0.0,3.9756591
1064,8.2830629,0.0,8.2830629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9101801,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9101796,27,EURE,AMÉCOURT,27010,0.0,0.0,0.0,0.0
1065,255.09766,43.066833,12.088088,3.9733925,0.0,4.9791927,11.751496,3.9116023,19.840761,24.054329,24.462269,31.787239,154.55321,24.993301,5.0375962,0.0,10.145033,0.0,9.8517313,0.0,9.9864454,5.9948225,26.721846,15.753736,27,EURE,AMFREVILLE-SAINT-AMAND,27011,35.776836,19.8915677,26.177127,39.405621
