,DBL_dep,DBL_nomdep,DBL_nomcommune,CED_nviolences2016,CED_nviolences2020,CED_ncambriolages2016,CED_ncambriolages2020,CED_nvolsvoitures2016,CED_nvolsvoitures2020,CED_nautresvols2016,CED_nautresvols2020,CED_ncrimesdelits2016,CED_ncrimesdelits2020
0,01,AIN,ABERGEMENT-CLÉMENCIAT,3.099999964237213,6.920000076293945,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,3.909999966621399,3.634999930858612,11.7049999833107,14.20000004768372
1,01,AIN,ABERGEMENT-DE-VAREY,0.0,0.0,2.825000047683716,2.170000076293945,0.0,1.474999964237213,3.665000021457672,3.509999930858612,6.490000069141388,7.154999971389771
2,01,AIN,AMBÉRIEU-EN-BUGEY,146.5,195.0,66.0,33.5,45.0,22.0,219.5900000035763,172.9350000023842,477.0900000035763,423.4350000023842
3,01,AIN,AMBÉRIEUX-EN-DOMBES,5.549999952316284,6.120000064373016,11.0,7.0,1.870000004768372,1.474999964237213,5.724999964237213,6.004999905824661,24.14499992132187,20.59999993443489
4,01,AIN,AMBLÉON,4.559999942779541,2.540000021457672,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,1.850000023841858,0.0,11.10500001907349,6.185000061988831
5,01,AIN,AMBRONAY,5.549999952316284,6.920000076293945,13.0,14.0,5.5,9.0,16.47999995946884,12.88499996066093,40.52999991178513,42.80500003695488
6,01,AIN,AMBUTRIX,0.0,3.814999997615814,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,5.724999964237213,5.214999914169312,10.4200000166893,12.67499995231628
7,01,AIN,ANDERT-ET-CONDON,4.119999945163727,5.330000042915344,2.825000047683716,2.170000076293945,0.0,0.7799999713897705,3.874999940395355,2.729999959468842,10.8199999332428,11.0100000500679
8,01,AIN,ANGLEFORT,5.549999952316284,6.920000076293945,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,3.874999940395355,5.214999914169312,14.11999994516373,15.78000003099442
9,01,AIN,APREMONT,0.0,0.8550000190734863,0.0,2.170000076293945,0.0,0.0,3.874999940395355,3.524999916553497,3.874999940395355,6.550000011920929
10,01,AIN,ARANC,3.129999935626984,0.0,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,3.874999940395355,2.759999930858612,11.69999992847443,6.404999971389771
11,01,AIN,ARANDAS,0.0,0.0,2.825000047683716,2.170000076293945,1.870000004768372,0.7799999713897705,1.814999997615814,1.039999961853027,6.510000050067902,3.990000009536743
12,01,AIN,ARBENT,5.549999952316284,6.920000076293945,13.5,8.0,1.870000004768372,1.474999964237213,18.75500002503395,19.93499997258186,39.67499998211861,36.33000001311302
13,01,AIN,ARBOYS-EN-BUGEY,3.129999935626984,4.595000028610229,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,5.724999964237213,3.524999916553497,13.54999995231628,11.76499998569489
14,01,AIN,ARBIGNY,3.129999935626984,5.330000042915344,2.825000047683716,2.170000076293945,1.870000004768372,0.6949999928474426,3.909999966621399,1.669999957084656,11.73499995470047,9.865000069141388
15,01,AIN,ARGIS,3.129999935626984,6.180000066757202,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,5.724999964237213,6.004999905824661,13.54999995231628,15.83000001311302
16,01,AIN,ARS-SUR-FORMANS,5.549999952316284,6.920000076293945,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,13.16500002145767,5.214999914169312,23.41000002622604,15.78000003099442
17,01,AIN,ARTEMARE,5.549999952316284,6.920000076293945,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,5.724999964237213,7.309999942779541,15.96999996900558,17.87500005960464
18,01,AIN,ASNIÈRES-SUR-SAÔNE,0.0,0.0,0.0,0.0,0.0,0.0,1.814999997615814,1.689999997615814,1.814999997615814,1.689999997615814
19,01,AIN,ATTIGNAT,5.549999952316284,6.920000076293945,9.0,10.0,1.870000004768372,1.474999964237213,14.16500002145767,10.30499997735023,30.58499997854233,28.70000001788139
20,01,AIN,BÂGÉ-DOMMARTIN,5.549999952316284,6.920000076293945,7.5,11.5,1.870000004768372,1.474999964237213,4.794999957084656,5.214999914169312,19.71499991416931,25.10999995470047
21,01,AIN,BÂGÉ-LE-CHÂTEL,5.549999952316284,6.920000076293945,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,5.724999964237213,5.214999914169312,15.96999996900558,15.78000003099442
22,01,AIN,BALAN,5.549999952316284,6.920000076293945,8.0,8.5,1.870000004768372,1.474999964237213,11.08500003814697,14.36999997496605,26.50499999523163,31.26500001549721
23,01,AIN,BANEINS,3.129999935626984,5.330000042915344,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,3.874999940395355,4.964999943971634,11.69999992847443,13.94000002741814
24,01,AIN,BEAUPONT,3.099999964237213,6.920000076293945,2.825000047683716,2.170000076293945,0.0,0.7799999713897705,5.724999964237213,5.214999914169312,11.64999997615814,15.08500003814697
25,01,AIN,BEAUREGARD,4.559999942779541,6.920000076293945,2.825000047683716,2.170000076293945,1.870000004768372,1.474999964237213,12.07999995350838,5.214999914169312,21.33499994874001,15.78000003099442
26,01,AIN,BELLIGNAT,32.99000000953674,17.2700001001358,11.5,9.0,9.5,1.474999964237213,16.58500003814697,22.59499996900558,70.57500004768372,50.3400000333786
27,01,AIN,BÉLIGNEUX,5.549999952316284,21.10500007867813,20.0,21.5,10.0,1.474999964237213,32.77000004053116,21.30499997735023,68.31999999284744,65.38500002026558
